                              timestamp      open      high       low     close    volume  quote_asset_volume  number_of_trades  taker_buy_base_asset_volume  taker_buy_quote_asset_volume       rsi      macd  macd_signal  macd_diff   bb_high    bb_low    bb_mid  bb_high_indicator  bb_low_indicator       atr     ema24    ema168    ema672   ema8766     sma24    sma168    sma672   sma8766
timestamp                      1.000000  0.513182  0.511736  0.514717  0.513394 -0.233550           -0.136423         -0.174778                    -0.232101                     -0.134162  0.094002  0.114194     0.121166   0.000071  0.505286  0.517562  0.511587           0.027656         -0.021417  0.112026  0.511316  0.487580  0.444158 -0.316246  0.511211  0.486175  0.443228 -0.564920
open                           0.513182  1.000000  0.999935  0.999915  0.999893 -0.404827           -0.190808         -0.357984                    -0.403105                     -0.189076  0.072552  0.094308     0.100770  -0.002158  0.998941  0.998868  0.999440           0.011668         -0.003742  0.682710  0.999508  0.992890  0.980714  0.569643  0.999298  0.990322  0.975136  0.289968
high                           0.511736  0.999935  1.000000  0.999867  0.999938 -0.402000           -0.186762         -0.355269                    -0.400054                     -0.184651  0.074994  0.094265     0.100224  -0.000580  0.998998  0.998704  0.999388           0.015620         -0.004484  0.686124  0.999463  0.992970  0.980889  0.570958  0.999248  0.990430  0.975320  0.291579
low                            0.514717  0.999915  0.999867  1.000000  0.999938 -0.408116           -0.195779         -0.361359                    -0.406122                     -0.193560  0.075901  0.095720     0.101495   0.000276  0.998719  0.998866  0.999325           0.012778         -0.008295  0.678867  0.999398  0.992685  0.980458  0.568301  0.999178  0.990097  0.974887  0.288304
close                          0.513394  0.999893  0.999938  0.999938  1.000000 -0.404908           -0.191078         -0.358128                    -0.402789                     -0.188660  0.077092  0.095314     0.100944   0.000657  0.998851  0.998766  0.999344           0.015867         -0.008079  0.682597  0.999419  0.992783  0.980599  0.569416  0.999199  0.990216  0.975024  0.289746
volume                        -0.233550 -0.404827 -0.402000 -0.408116 -0.404908  1.000000            0.940770          0.937014                     0.998764                      0.937906  0.016244 -0.000689     0.000648  -0.004338 -0.399045 -0.411357 -0.405307           0.137987          0.135107 -0.098838 -0.405541 -0.412718 -0.421122 -0.215834 -0.405400 -0.412259 -0.419584 -0.023198
quote_asset_volume            -0.136423 -0.190808 -0.186762 -0.195779 -0.191078  0.940770            1.000000          0.909029                     0.940141                      0.997376  0.040961  0.027861     0.033512  -0.012413 -0.182757 -0.200279 -0.191463           0.182071          0.171372  0.119748 -0.191761 -0.203098 -0.217389 -0.107835 -0.191614 -0.203340 -0.217636  0.023437
number_of_trades              -0.174778 -0.357984 -0.355269 -0.361359 -0.358128  0.937014            0.909029          1.000000                     0.936612                      0.907376  0.024798  0.021642     0.024520  -0.004885 -0.352875 -0.364654 -0.358850           0.126648          0.122606 -0.069007 -0.359160 -0.371288 -0.388931 -0.235429 -0.359043 -0.370828 -0.387732 -0.045359
taker_buy_base_asset_volume   -0.232101 -0.403105 -0.400054 -0.406122 -0.402789  0.998764            0.940141          0.936612                     1.000000                      0.940588  0.032483  0.005739     0.004795   0.004075 -0.397506 -0.409771 -0.403744           0.150873          0.120998 -0.098376 -0.403966 -0.411433 -0.419938 -0.215630 -0.403863 -0.411013 -0.418384 -0.023087
taker_buy_quote_asset_volume  -0.134162 -0.189076 -0.184651 -0.193560 -0.188660  0.937906            0.997376          0.907376                     0.940588                      1.000000  0.064391  0.038651     0.040318   0.002203 -0.181341 -0.198780 -0.190005           0.201128          0.150429  0.119206 -0.190282 -0.202115 -0.216600 -0.108504 -0.190202 -0.202413 -0.216836  0.022740
